stamp,average_steering_ang_fdbk,secondary_steering_ang_fdbk,primary_steering_angle_fbk
"builtin_interfaces.msg.Time(sec=1751477680, nanosec=556491636)",36.0,36.0,36.0
"builtin_interfaces.msg.Time(sec=1751477680, nanosec=565967720)",36.0,36.0,35.5
"builtin_interfaces.msg.Time(sec=1751477680, nanosec=576498853)",35.5,36.0,35.0
"builtin_interfaces.msg.Time(sec=1751477680, nanosec=586307405)",35.5,36.0,35.0
"builtin_interfaces.msg.Time(sec=1751477680, nanosec=600171884)",35.0,35.5,35.0
"builtin_interfaces.msg.Time(sec=1751477680, nanosec=605922553)",35.0,35.5,35.0
"builtin_interfaces.msg.Time(sec=1751477680, nanosec=615970717)",35.0,35.5,35.0
"builtin_interfaces.msg.Time(sec=1751477680, nanosec=625991439)",35.5,36.0,35.0
"builtin_interfaces.msg.Time(sec=1751477680, nanosec=635915248)",35.5,36.0,35.0
"builtin_interfaces.msg.Time(sec=1751477680, nanosec=645981070)",35.5,36.0,35.0
"builtin_interfaces.msg.Time(sec=1751477680, nanosec=655988716)",35.5,36.0,35.0
"builtin_interfaces.msg.Time(sec=1751477680, nanosec=665866886)",35.0,35.5,35.0
"builtin_interfaces.msg.Time(sec=1751477680, nanosec=675898471)",35.0,35.5,35.0
"builtin_interfaces.msg.Time(sec=1751477680, nanosec=685883017)",35.5,36.0,35.0
"builtin_interfaces.msg.Time(sec=1751477680, nanosec=695888131)",35.5,36.0,35.0
"builtin_interfaces.msg.Time(sec=1751477680, nanosec=705879128)",35.5,36.0,35.0
"builtin_interfaces.msg.Time(sec=1751477680, nanosec=715896934)",35.5,36.0,35.0
"builtin_interfaces.msg.Time(sec=1751477680, nanosec=725947530)",35.5,36.0,35.0
"builtin_interfaces.msg.Time(sec=1751477680, nanosec=735910944)",35.5,36.0,35.0
"builtin_interfaces.msg.Time(sec=1751477680, nanosec=745911151)",35.5,36.0,35.0
"builtin_interfaces.msg.Time(sec=1751477680, nanosec=755902211)",35.5,36.0,35.0
"builtin_interfaces.msg.Time(sec=1751477680, nanosec=765908709)",35.5,36.0,35.0
"builtin_interfaces.msg.Time(sec=1751477680, nanosec=775913650)",36.0,36.0,35.5
"builtin_interfaces.msg.Time(sec=1751477680, nanosec=786448992)",35.5,36.0,35.0
"builtin_interfaces.msg.Time(sec=1751477680, nanosec=795868119)",36.0,36.0,35.5
"builtin_interfaces.msg.Time(sec=1751477680, nanosec=805925217)",35.5,36.0,35.0
"builtin_interfaces.msg.Time(sec=1751477680, nanosec=816019723)",35.5,36.0,35.0
"builtin_interfaces.msg.Time(sec=1751477680, nanosec=825921968)",35.5,36.0,35.0
"builtin_interfaces.msg.Time(sec=1751477680, nanosec=835908912)",35.5,36.0,35.0
"builtin_interfaces.msg.Time(sec=1751477680, nanosec=845904714)",35.5,36.0,35.0
"builtin_interfaces.msg.Time(sec=1751477680, nanosec=855865603)",35.5,36.0,35.0
"builtin_interfaces.msg.Time(sec=1751477680, nanosec=865919615)",36.0,36.5,35.0
"builtin_interfaces.msg.Time(sec=1751477680, nanosec=876182542)",36.0,36.5,35.5
"builtin_interfaces.msg.Time(sec=1751477680, nanosec=885875408)",36.0,36.5,35.0
"builtin_interfaces.msg.Time(sec=1751477680, nanosec=895869356)",36.0,36.5,35.5
"builtin_interfaces.msg.Time(sec=1751477680, nanosec=906519202)",36.0,36.5,36.0
"builtin_interfaces.msg.Time(sec=1751477680, nanosec=916398294)",36.0,36.5,35.5
"builtin_interfaces.msg.Time(sec=1751477680, nanosec=925923162)",36.5,37.0,35.5
"builtin_interfaces.msg.Time(sec=1751477680, nanosec=935919886)",37.0,37.5,37.0
"builtin_interfaces.msg.Time(sec=1751477680, nanosec=945924709)",37.5,38.0,37.0
"builtin_interfaces.msg.Time(sec=1751477680, nanosec=955903051)",38.0,38.0,37.5
"builtin_interfaces.msg.Time(sec=1751477680, nanosec=965903178)",37.5,38.0,37.0
"builtin_interfaces.msg.Time(sec=1751477680, nanosec=975864349)",37.5,38.0,37.0
"builtin_interfaces.msg.Time(sec=1751477680, nanosec=985889724)",38.0,38.0,37.5
"builtin_interfaces.msg.Time(sec=1751477680, nanosec=996237808)",38.0,38.5,37.0
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=5945362)",37.5,38.0,37.0
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=15910409)",38.0,38.5,37.5
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=25899242)",38.0,38.0,37.5
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=35917114)",38.0,38.0,37.5
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=45917944)",38.0,38.0,37.5
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=55911510)",38.0,38.5,37.5
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=66290803)",38.0,38.5,38.0
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=78752922)",38.0,38.5,38.0
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=85914564)",38.0,38.5,38.0
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=96306537)",38.0,38.5,38.0
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=106249897)",38.5,38.5,38.0
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=117679423)",38.5,38.5,38.0
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=125919427)",38.5,38.5,38.0
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=135929173)",38.5,39.0,38.0
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=146222701)",39.0,39.5,39.0
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=156619683)",39.5,39.5,39.0
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=166323008)",39.5,40.0,39.0
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=176595483)",39.5,40.0,39.0
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=185867340)",39.5,40.0,39.0
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=197021964)",39.5,40.0,39.0
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=205925753)",39.5,40.0,39.0
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=215999188)",39.5,40.0,39.0
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=225904101)",39.5,39.5,39.0
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=235915598)",39.0,39.5,39.0
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=245858698)",39.0,39.5,39.0
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=255916291)",39.5,39.5,39.0
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=266342552)",39.0,39.5,39.0
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=275867908)",39.0,39.5,39.0
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=288070074)",39.0,39.5,39.0
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=295944723)",39.0,39.5,39.0
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=306383757)",39.0,39.5,39.0
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=317125502)",39.0,39.5,39.0
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=326456940)",39.0,39.5,39.0
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=335902766)",39.0,39.5,39.0
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=346160443)",39.0,39.5,38.5
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=355970744)",39.0,39.0,38.5
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=365917138)",39.0,39.0,39.0
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=376441851)",39.0,39.0,38.5
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=386547506)",39.0,39.0,39.0
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=396444039)",38.5,39.0,38.5
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=406490568)",38.5,38.5,38.0
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=416489783)",38.5,39.0,38.0
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=426106837)",38.5,39.0,38.0
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=436042848)",38.5,39.0,38.0
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=445981227)",38.5,38.5,38.0
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=456356043)",38.0,38.0,38.0
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=467234259)",37.5,38.0,37.5
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=475985402)",37.5,37.5,37.5
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=485970577)",37.5,37.5,37.0
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=496450474)",37.5,37.5,37.0
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=505988662)",37.5,37.5,37.0
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=516028380)",37.0,37.0,37.0
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=526246385)",36.5,36.5,36.5
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=535973599)",35.5,35.5,35.5
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=545986735)",35.0,35.0,35.0
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=555972462)",34.5,34.5,34.0
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=566006533)",34.0,34.5,34.0
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=575955517)",34.0,34.0,33.5
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=586040605)",34.0,34.0,34.0
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=595966411)",33.5,33.5,33.5
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=607897568)",33.0,33.5,33.0
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=616828938)",33.0,33.5,33.0
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=626078129)",33.0,33.0,32.5
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=635905046)",33.0,33.0,33.0
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=646419828)",33.0,33.0,32.5
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=655919870)",32.5,33.0,32.5
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=665991179)",32.5,33.0,32.5
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=675930374)",32.5,32.5,32.0
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=685920469)",32.5,32.5,32.0
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=695935317)",32.0,32.5,31.5
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=705918016)",32.0,32.5,32.0
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=715898541)",32.5,32.5,32.0
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=725941824)",32.0,32.5,32.0
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=735907057)",32.0,32.5,32.0
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=745942839)",31.5,32.0,31.0
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=755902560)",32.0,32.0,31.5
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=766007852)",31.5,32.0,31.5
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=776222786)",31.5,31.5,31.0
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=786026243)",31.0,31.5,31.0
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=796754270)",31.0,31.5,31.0
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=806058906)",31.0,31.5,31.0
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=816047209)",31.0,31.0,30.5
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=826205784)",30.5,30.5,30.0
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=835954164)",30.0,30.0,30.0
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=845984715)",30.0,30.0,29.5
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=856023335)",29.5,29.5,29.5
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=867185668)",29.0,29.5,28.5
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=876301316)",28.5,29.0,28.5
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=886778806)",29.0,29.0,28.5
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=895978001)",29.0,29.0,28.5
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=906118594)",29.0,29.0,28.5
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=916046374)",28.5,29.0,28.5
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=925988420)",28.5,28.5,28.5
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=936194810)",28.5,28.5,28.5
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=952646428)",28.5,28.5,28.0
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=956093730)",28.0,28.0,28.0
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=966307366)",28.0,28.0,27.5
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=975978258)",28.0,28.0,27.5
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=985917215)",27.5,28.0,27.5
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=995889853)",27.0,27.5,27.0
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=5871058)",27.0,27.5,27.0
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=15884116)",27.0,27.5,27.0
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=25998969)",27.0,27.0,27.0
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=36671971)",26.5,27.0,26.5
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=45929853)",26.5,26.5,26.5
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=55959117)",26.0,26.0,26.0
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=65944837)",25.5,26.0,25.5
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=75941291)",25.5,25.5,25.0
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=85869308)",25.5,25.5,25.5
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=95960476)",25.5,25.5,25.0
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=105931180)",25.0,25.5,24.5
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=116302022)",25.0,25.5,25.0
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=125940588)",25.0,25.0,25.0
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=135930694)",25.0,25.0,24.5
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=145921646)",24.5,25.0,24.5
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=155882620)",24.5,24.5,24.5
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=165998132)",24.5,24.5,24.5
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=176102403)",24.0,24.5,23.5
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=187060632)",24.0,24.5,23.5
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=197292649)",24.0,24.0,23.5
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=206037005)",23.5,24.0,23.5
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=206037005)",23.5,24.0,23.5
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=225958920)",23.0,23.5,23.0
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=238382781)",22.5,23.0,22.5
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=245918858)",22.5,22.5,22.0
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=255906161)",22.0,22.5,21.5
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=265955285)",22.0,22.0,21.5
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=275966983)",21.5,21.5,21.5
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=286768296)",21.5,21.5,21.0
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=296491211)",21.5,21.5,21.0
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=305943213)",21.5,21.5,21.0
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=316057074)",21.5,21.5,21.0
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=325950000)",21.5,21.5,21.0
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=336951921)",21.0,21.5,20.5
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=345953116)",21.0,21.5,21.0
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=360183640)",20.5,21.0,20.5
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=366025796)",20.5,21.0,20.5
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=376151590)",20.5,21.0,20.5
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=389249299)",20.5,20.5,20.0
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=398439292)",20.5,20.5,20.0
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=406350833)",20.5,20.5,20.0
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=416191024)",20.0,20.5,19.5
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=426484783)",20.0,20.5,19.5
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=436050051)",19.5,20.0,19.5
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=446165945)",19.5,20.0,19.0
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=465972576)",19.0,19.5,18.5
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=465972576)",19.0,19.5,18.5
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=476669165)",19.0,19.5,18.5
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=487600279)",19.0,19.0,18.5
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=498486495)",18.5,19.0,18.5
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=505935319)",18.5,19.0,18.0
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=515929226)",18.5,19.0,18.0
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=525940248)",18.5,18.5,18.0
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=535940143)",18.0,18.5,17.5
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=545879393)",18.0,18.0,17.5
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=556005163)",17.5,17.5,17.0
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=566349722)",17.0,17.5,17.0
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=575935052)",17.0,17.5,16.5
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=585977187)",16.5,17.0,16.5
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=596145607)",16.5,17.0,16.5
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=605919992)",16.5,16.5,16.0
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=615870665)",15.5,16.0,15.5
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=625925668)",15.0,15.5,15.0
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=635871598)",14.5,15.0,14.5
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=646307617)",14.0,14.0,13.5
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=655877944)",13.0,13.5,13.0
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=666150682)",13.0,13.5,12.5
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=675875049)",13.0,13.5,13.0
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=685895926)",13.0,13.5,12.5
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=695924905)",13.0,13.5,12.5
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=706007696)",13.0,13.5,12.5
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=715984170)",13.0,13.0,12.5
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=726094523)",12.5,13.0,12.0
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=736022976)",12.5,13.0,12.0
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=745929704)",12.5,12.5,12.0
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=755911895)",12.5,12.5,12.0
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=765869155)",12.5,13.0,12.0
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=775922168)",12.0,12.5,12.0
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=785900618)",11.5,12.0,11.0
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=795874621)",10.5,11.0,10.5
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=806201765)",9.5,10.0,9.5
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=815973734)",9.0,9.0,8.5
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=827267788)",8.5,9.0,8.0
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=835884154)",8.5,9.0,8.0
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=846664370)",8.5,9.0,8.0
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=855930308)",8.5,9.0,8.0
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=865968541)",8.5,9.0,8.0
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=875950118)",8.5,9.0,8.0
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=887798636)",8.0,8.5,8.0
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=895938779)",8.0,8.5,8.0
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=905871812)",8.0,8.5,7.5
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=915906508)",8.0,8.5,7.5
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=925958355)",8.0,8.0,7.5
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=936133307)",8.0,8.0,7.5
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=945941397)",7.5,8.0,7.0
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=955912919)",7.5,8.0,7.0
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=965968933)",7.5,8.0,7.0
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=975952200)",7.5,8.0,7.0
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=986418938)",7.5,7.5,7.0
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=995866170)",7.0,7.5,7.0
"builtin_interfaces.msg.Time(sec=1751477683, nanosec=5952848)",7.0,7.0,6.5
"builtin_interfaces.msg.Time(sec=1751477683, nanosec=15923051)",6.5,6.5,6.0
"builtin_interfaces.msg.Time(sec=1751477683, nanosec=25983421)",6.0,6.5,5.5
"builtin_interfaces.msg.Time(sec=1751477683, nanosec=35919725)",5.5,6.5,5.0
"builtin_interfaces.msg.Time(sec=1751477683, nanosec=45931767)",5.5,6.0,5.0
"builtin_interfaces.msg.Time(sec=1751477683, nanosec=55949489)",5.5,6.0,5.0
"builtin_interfaces.msg.Time(sec=1751477683, nanosec=65873122)",5.5,5.5,5.0
"builtin_interfaces.msg.Time(sec=1751477683, nanosec=75941614)",5.0,5.5,5.0
"builtin_interfaces.msg.Time(sec=1751477683, nanosec=85871639)",4.5,4.5,4.0
"builtin_interfaces.msg.Time(sec=1751477683, nanosec=95919155)",4.0,4.0,3.5
"builtin_interfaces.msg.Time(sec=1751477683, nanosec=105892283)",3.5,4.0,3.0
"builtin_interfaces.msg.Time(sec=1751477683, nanosec=116110998)",3.5,4.0,3.0
"builtin_interfaces.msg.Time(sec=1751477683, nanosec=125871290)",3.5,4.0,3.0
"builtin_interfaces.msg.Time(sec=1751477683, nanosec=135930013)",3.5,4.0,3.0
"builtin_interfaces.msg.Time(sec=1751477683, nanosec=145944038)",3.5,4.0,3.0
"builtin_interfaces.msg.Time(sec=1751477683, nanosec=155911266)",3.5,4.0,3.0
"builtin_interfaces.msg.Time(sec=1751477683, nanosec=165938964)",3.0,4.0,2.5
"builtin_interfaces.msg.Time(sec=1751477683, nanosec=175921725)",3.0,3.5,3.0
"builtin_interfaces.msg.Time(sec=1751477683, nanosec=185887300)",3.0,3.5,3.0
"builtin_interfaces.msg.Time(sec=1751477683, nanosec=195950949)",3.0,3.5,2.5
"builtin_interfaces.msg.Time(sec=1751477683, nanosec=205923787)",3.0,3.0,2.5
"builtin_interfaces.msg.Time(sec=1751477683, nanosec=215904688)",2.5,3.0,2.0
"builtin_interfaces.msg.Time(sec=1751477683, nanosec=225916561)",2.0,2.0,2.0
"builtin_interfaces.msg.Time(sec=1751477683, nanosec=236222282)",1.0,1.5,1.0
"builtin_interfaces.msg.Time(sec=1751477683, nanosec=245942322)",0.5,0.5,0.0
"builtin_interfaces.msg.Time(sec=1751477683, nanosec=255974754)",0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477683, nanosec=265879983)",-0.5,0.0,-1.0
"builtin_interfaces.msg.Time(sec=1751477683, nanosec=276255846)",-0.5,-0.5,-1.0
"builtin_interfaces.msg.Time(sec=1751477683, nanosec=276255846)",-0.5,-0.5,-1.0
"builtin_interfaces.msg.Time(sec=1751477683, nanosec=295924777)",-1.0,-0.5,-1.0
"builtin_interfaces.msg.Time(sec=1751477683, nanosec=306069281)",-1.0,-0.5,-1.5
"builtin_interfaces.msg.Time(sec=1751477683, nanosec=316404642)",-1.5,-1.0,-2.0
"builtin_interfaces.msg.Time(sec=1751477683, nanosec=325928506)",-1.5,-1.0,-1.5
"builtin_interfaces.msg.Time(sec=1751477683, nanosec=335987761)",-1.5,-1.0,-1.5
"builtin_interfaces.msg.Time(sec=1751477683, nanosec=346208359)",-1.5,-1.0,-1.5
"builtin_interfaces.msg.Time(sec=1751477683, nanosec=355908774)",-1.5,-1.0,-1.5
"builtin_interfaces.msg.Time(sec=1751477683, nanosec=365960099)",-1.5,-1.0,-2.0
"builtin_interfaces.msg.Time(sec=1751477683, nanosec=376405826)",-2.0,-1.5,-2.5
"builtin_interfaces.msg.Time(sec=1751477683, nanosec=386518477)",-2.5,-2.0,-3.0
"builtin_interfaces.msg.Time(sec=1751477683, nanosec=395879238)",-3.5,-3.0,-4.0
"builtin_interfaces.msg.Time(sec=1751477683, nanosec=395879238)",-3.5,-3.0,-4.0
"builtin_interfaces.msg.Time(sec=1751477683, nanosec=415893300)",-4.0,-3.5,-4.0
"builtin_interfaces.msg.Time(sec=1751477683, nanosec=425933067)",-4.0,-3.5,-4.0
"builtin_interfaces.msg.Time(sec=1751477683, nanosec=435925527)",-4.0,-3.5,-4.0
"builtin_interfaces.msg.Time(sec=1751477683, nanosec=446392253)",-4.0,-4.0,-4.0
"builtin_interfaces.msg.Time(sec=1751477683, nanosec=465955422)",-4.0,-4.0,-4.5
"builtin_interfaces.msg.Time(sec=1751477683, nanosec=465955422)",-4.0,-4.0,-4.5
"builtin_interfaces.msg.Time(sec=1751477683, nanosec=476537221)",-4.5,-4.0,-5.0
"builtin_interfaces.msg.Time(sec=1751477683, nanosec=485873705)",-5.0,-4.5,-5.0
"builtin_interfaces.msg.Time(sec=1751477683, nanosec=497420766)",-5.0,-4.5,-5.5
"builtin_interfaces.msg.Time(sec=1751477683, nanosec=506297805)",-5.5,-5.0,-6.0
"builtin_interfaces.msg.Time(sec=1751477683, nanosec=515878462)",-5.5,-5.0,-5.5
"builtin_interfaces.msg.Time(sec=1751477683, nanosec=525910414)",-5.5,-5.5,-6.0
"builtin_interfaces.msg.Time(sec=1751477683, nanosec=536036455)",-6.0,-5.5,-6.5
"builtin_interfaces.msg.Time(sec=1751477683, nanosec=546155855)",-6.5,-6.5,-7.0
"builtin_interfaces.msg.Time(sec=1751477683, nanosec=566381088)",-8.5,-8.0,-9.0
